Year	Make	Model	Class	Type	Country	Value (Cr)	Rarity	Source	Source Info
2011	Penhall	The Cholla	B 541	Unlimited Buggies	USA	85,000	Rare	Autoshow, Wheelspin	
1991	Peugeot	205 Rallye	D 350	Retro Hot Hatch	France	22,000	Rare	Autoshow, Wheelspin	
1984	Peugeot	205 Turbo 16	C 500	Retro Rally	France	275,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Barn Find in Shimanoyama
2007	Peugeot	207 Super 2000	A 632	Rally Monsters	France			Seasonal	Not in Autoshow, from Off Piste Wristband Event
1968	Plymouth	Barracuda Formula S	C 445	Classic Muscle	USA	45,000	Rare	Autoshow, Wheelspin	
1971	Plymouth	Cuda 426 HEMI	C 441	Classic Muscle	USA	125,000	Epic	Autoshow, Wheelspin	
1958	Plymouth	Fury	D 361	Rods and Customs	USA	53,000	Rare	Autoshow, Wheelspin	
2021	Polaris	RZR Pro XP Factory Racing Limited Edition	C 439	UTVs	USA	50,000	Rare	Autoshow, Wheelspin	
2021	Polaris	RZR Pro XP Ultimate	C 496	UTVs	USA	34,000	Rare	Autoshow, Collection Journal	
1977	Pontiac	Firebird Trans Am	D 312	Classic Muscle	USA	60,000	Rare	Autoshow, Wheelspin	
1987	Pontiac	Firebird Trans Am GTA	D 382	Retro Muscle	USA	25,000	Common	Autoshow, Wheelspin	
1987	Porsche	959	A 661	Retro Supercars	Germany	1,875,000	Treasure Car	Collection Journal	Not in Autoshow, is discoverable Treasure Car
1985	Porsche	#185 959 Prodrive Rally Raid	A 623	Rally Monsters	Germany	1,500,000	Legendary	Autoshow, Wheelspin	
1970	Porsche	#3 917 LH	S1 777	Classic Racers	Germany	1,000,000	Legendary	Autoshow, Collection Journal	
1970	Porsche	#3 917 LH Forza Edition	R 998	Extreme Track Toys	Germany			Wheelspin, Seasonal	Not in Autoshow
2019	Porsche	#70 Porsche Motorsport 935	S2 853	Extreme Track Toys	Germany	1,600,000	Legendary	Autoshow, Wheelspin	
2022	Porsche	718 Cayman GT4 RS	S1 737	Track Toys	Germany	190,000	Epic	Autoshow, Collection Journal	
2018	Porsche	718 Cayman GTS	A 675	Modern Sports Cars	Germany	75,000	Epic	Autoshow, Wheelspin	
1973	Porsche	911 Carrera RS	C 490	Rare Classics	Germany	1,050,000	Legendary	Autoshow, Wheelspin	
2019	Porsche	911 Carrera S	S1 714	Modern Sports Cars	Germany	145,000	Rare	Autoshow, Wheelspin	
1997	Porsche	911 GT1 Strassenversion	S1 746	Retro Supercars	Germany	4,000,000	Legendary	Autoshow, Wheelspin	
1995	Porsche	911 GT2	A 644	Retro Supercars	Germany			Wheelspin, Seasonal	Not in Autoshow
2018	Porsche	911 GT2 RS	S2 803	Track Toys	Germany	550,000	Epic	Autoshow, Wheelspin	
2004	Porsche	911 GT3	A 674	Retro Supercars	Germany	135,000	Rare	Autoshow, Wheelspin	
2021	Porsche	911 GT3	S1 752	Track Toys	Germany	260,000	Epic	Autoshow, Wheelspin	
2019	Porsche	911 GT3 RS	S1 760	Track Toys	Germany			Wheelspin, Seasonal	Not in Autoshow
2023	Porsche	911 GT3 RS	S1 758	Track Toys	Germany	424,000	Epic	Autoshow, Wheelspin	
2012	Porsche	911 GT3 RS 4.0	S1 726	Track Toys	Germany	930,000	Epic	Autoshow, Collection Journal	
2023	Porsche	911 Rallye	A 700	Rally Monsters	Germany			Seasonal	Not in Autoshow, from Flight Club Wristband Event
1982	Porsche	911 Turbo 3.3	B 550	Retro Supercars	Germany	240,000	Barn Find	Collection Journal	Not in Autoshow
2023	Porsche	911 Turbo S	S1 774	Modern Supercars	Germany	275,000	Rare	Autoshow, Wheelspin	
1993	Porsche	911 Turbo S Leichtbau	A 652	Retro Sports Cars	Germany			Seasonal	Not in Autoshow
2014	Porsche	918 Spyder	S2 858	Hypercars	Germany	2,300,000	Legendary	Autoshow, Collection Journal	
1993	Porsche	928 GTS	B 563	Retro Sports Cars	Germany	150,000	Rare	Autoshow, Wheelspin	
1989	Porsche	944 Turbo	B 539	Retro Sports Cars	Germany	30,000	Rare	Autoshow, Wheelspin	
1993	Porsche	968 Turbo S	B 594	Retro Sports Cars	Germany	520,000	Rare	Autoshow, Wheelspin	
2003	Porsche	Carrera GT	S1 758	Retro Supercars	Germany			Collection Journal, Seasonal	Not in Autoshow
2018	Porsche	Cayenne Turbo	A 638	Sports Utility Heroes	Germany	79,000	Epic	Autoshow, Wheelspin	
2005	Porsche	Cayman GT3 WTAC	S2 856	Extreme Track Toys	Germany	180,000	Epic	Autoshow, Wheelspin	
2018	Porsche	Macan LPR Rally Raid	B 528	Offroad	Germany	250,000	Epic	Autoshow, Wheelspin	
2021	Porsche	Mission R	S2 865	Extreme Track Toys	Germany	5,000,000	Legendary	Autoshow, Wheelspin	
2020	Porsche	Taycan Turbo S	S1 725	Modern Super Saloons	Germany	200,000	Common	Autoshow, Wheelspin	
2015	Radical	RXC Turbo	S2 842	Extreme Track Toys	UK	147,000	Epic	Autoshow, Wheelspin	
2024	Ram	1500 TRX	B 514	Pickups & 4x4s	USA	100,000	Common	Autoshow	
1972	Reliant	Supervan III	D 100	Utility Heroes	UK	39,000	Common	Autoshow, Wheelspin	
1980	Renault	5 Turbo	C 417	Retro Rally	France	143,000	Rare	Autoshow, Wheelspin	
1967	Renault	8 Gordini	D 322	Classic Rally	France	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1993	Renault	Clio Williams	D 400	Retro Hot Hatch	France	30,000	Common	Autoshow, Wheelspin	
2018	Renault	Megane R.S.	B 547	Super Hot Hatch	France	32,000	Rare	Autoshow, Wheelspin	
2008	Renault	Mégane R26.R	B 561	Hot Hatch	France	58,000	Rare	Autoshow, Wheelspin	
2010	Renault	Megane RS 250	B 538	Super Hot Hatch	France	14,000	Common	Autoshow, Wheelspin	
2021	Rimac	Nevera	R 913	Hypercars	Croatia	2,250,000	Legendary	Wheelspin, Seasonal	Not in Autoshow
2022	Rivian	R1T	A 607	Pickups & 4x4s	USA	56,000	Epic	Autoshow, Wheelspin	
2016	RJ Anderson	#37 Polaris RZR Pro 2 Truck	A 674	Unlimited Offroad	USA	120,000	Epic	Autoshow, Collection Journal	
2021	RJ Anderson	#37 Polaris RZR Pro 4 Truck	A 677	Unlimited Offroad	USA			Wheelspin, Seasonal	Not in Autoshow
2017	Saleen	S7 LM	S2 835	Extreme Track Toys	USA	1,000,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1993	Schuppan	962CR	S1 764	Retro Supercars	UK	1,950,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1965	Shelby	Cobra 427 S/C	B 582	Rare Classics	USA			Collection Journal, Seasonal	Not in Autoshow
1965	Shelby	Cobra Daytona Coupe	B 515	Classic Racers	USA	20,000,000	Legendary	Autoshow, Wheelspin	
2020	SIERRA Cars	#23 Yokohama ALPHA	R 926	Extreme Track Toys	USA	65,000	Epic	Autoshow, Wheelspin	
2021	SIERRA Cars	700R	D 346	UTVs	USA	75,000	Rare	Autoshow, Wheelspin	
2021	SIERRA Cars	RX3	A 635	UTVs	USA	50,000	Rare	Autoshow, Wheelspin	
2013	SRT	Viper GTS	S1 707	Modern Muscle	USA	135,000	Rare	Autoshow, Wheelspin, Loyalty	
1980	Subaru	BRAT GL	D 159	Utility Heroes	Japan	20,000	Common	Autoshow, Wheelspin	
2013	Subaru	BRZ	C 463	Modern Sports Cars	Japan	25,000	Common	Autoshow, Wheelspin	
2022	Subaru	BRZ	B 551	Modern Sports Cars	Japan	28,000	Epic	Autoshow, Wheelspin	
2022	Subaru	BRZ Forza Edition	A 700	Unlimited Offroad	Japan	500,000	Forza Edition	Seasonal	Not in Autoshow, I found mine for sale as Aftermarket Car in Sotoyama
1998	Subaru	Impreza 22B-STi Version	B 600	Retro Rally	Japan	86,000	Legendary	Autoshow, Wheelspin	
2004	Subaru	Impreza WRX STI	B 552	Modern Rally	Japan	30,000	Common	Autoshow, Wheelspin	
2005	Subaru	Impreza WRX STI	B 570	Modern Rally	Japan	35,000	Common	Autoshow, Wheelspin	
2008	Subaru	Impreza WRX STI	B 539	Modern Rally	Japan	27,000	Rare	Autoshow, Wheelspin	
2005	Subaru	Legacy B4 2.0 GT	B 549	Retro Super Saloons	Japan	10,000	Common	Autoshow, Wheelspin	
1990	Subaru	Legacy RS	C 406	Retro Rally	Japan	15,000	Common	Autoshow, Wheelspin	
2019	Subaru	STI S209	B 574	Modern Rally	Japan	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1996	Subaru	SVX	C 466	Retro Sports Cars	Japan	13,000	Common	Autoshow, Wheelspin	
1994	Subaru	Vivio RX-R	D 281	Eclectic Domestics	Japan	10,000	Epic	Autoshow, Wheelspin	
1994	Subaru	Vivio RX-R Forza Edition	S2 900	Extreme Track Toys	Japan			Collection Journal, Seasonal	Not in Autoshow
2022	Subaru	WRX	B 538	Modern Rally	Japan	25,000	Epic	Autoshow, Wheelspin	
2011	Subaru	WRX STI	B 547	Modern Rally	Japan	27,000	Rare	Autoshow, Wheelspin	
2015	Subaru	WRX STI	B 555	Modern Rally	Japan	27,000	Common	Autoshow, Wheelspin	
2018	Subaru	WRX STI ARX Supercar	S1 757	Rally Monsters	Japan	150,000	Epic	Seasonal	Not in Autoshow, from Launch Control Wristband Event
2013	Toyota	86	C 460	Modern Sports Cars	Japan	15,000	Rare	Autoshow, Wheelspin	
1993	Toyota	#1 T100 Baja Truck	B 584	Unlimited Offroad	Japan	400,000	Legendary	Autoshow, Wheelspin	
1969	Toyota	2000GT	D 377	Rare Classics	Japan	1,000,000	Barn Find	Collection Journal	Not in Autoshow, is discoverable Barn Find in Ito
2019	Toyota	4Runner TRD Pro	C 421	Pickups & 4x4s	Japan	42,000	Rare	Autoshow, Wheelspin	
2013	Toyota	86 Stories	A 685	Track Toys	Japan			Collection Journal, Seasonal	Not in Autoshow
1999	Toyota	Altezza RS200 Z Edition	C 461	Retro Super Saloons	Japan	250,000	Rare	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2023	Toyota	Camry TRD	B 525	Modern Super Saloons	Japan	31,000	Epic	Autoshow	
1992	Toyota	Celica GT-Four RC ST185	C 438	Retro Rally	Japan	30,000	Rare	Autoshow	
1994	Toyota	Celica GT-Four ST205	C 479	Retro Rally	Japan	27,000	Common	Autoshow, Wheelspin	
2003	Toyota	Celica Sport Specialty II	C 433	Retro Sports Cars	Japan	12,000	Rare	Autoshow, Wheelspin	
1997	Toyota	Chaser 2.5 Tourer V	B 504	Retro Super Saloons	Japan	15,500	Rare	Autoshow, Collection Journal	
1991	Toyota	Chaser GT Twin Turbo	C 484	Retro Super Saloons	Japan	20,000	Rare	Autoshow, Wheelspin	
1974	Toyota	Corolla SR5	D 197	Classic Sports Cars	Japan			Seasonal	Not in Autoshow, in Welcome to Japan Playlist
2005	Toyota	Crown Super Deluxe Taxi	D 181	Retro Super Saloons	Japan	10,000	Common	Autoshow, Wheelspin	
1979	Toyota	FJ40	D 157	Pickups & 4x4s	Japan	103,000	Common	Autoshow, Wheelspin	
2023	Toyota	GR Corolla	B 596	Super Hot Hatch	Japan			Autoshow DLC	Car Pass 7/9/26
2020	Toyota	GR Supra	A 616	Modern Sports Cars	Japan	45,000	Rare	Autoshow, Collection Journal, Wheelspin	
2021	Toyota	GR Yaris	B 558	Modern Rally	Japan	54,000	Epic	Autoshow, Wheelspin	
2022	Toyota	GR86	B 556	Modern Sports Cars	Japan	28,000	Common	Autoshow, Wheelspin	
1995	Toyota	J&J Motorsport Supra WTAC	S2 828	Extreme Track Toys	Japan	420,000	Epic	Autoshow DLC	Time Attack Car Pack
2017	Toyota	JPN Taxi	D 248	Eclectic Domestics	Japan	25,000	Common	Autoshow, Wheelspin	
2025	Toyota	Land Cruiser	C 456	Sports Utility Heroes	Japan	70,000	Rare	Autoshow, Wheelspin	
2016	Toyota	Land Cruiser Arctic Trucks AT37	D 332	Pickups & 4x4s	Japan	250,000	Rare	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1995	Toyota	MR2 GT	B 522	Retro Sports Cars	Japan	28,000	Rare	Autoshow, Wheelspin	
1989	Toyota	MR2 SC	D 397	Retro Sports Cars	Japan	250,000	Epic	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1991	Toyota	Sera	D 344	Eclectic Domestics	Japan	11,000	Rare	Autoshow, Wheelspin	
1997	Toyota	Soarer 2.5 GT-T	C 491	Retro Sports Cars	Japan	18,000	Rare	Autoshow, Collection Journal, Wheelspin	
1965	Toyota	Sports 800	D 141	Classic Sports Cars	Japan			Collection Journal, Wheelspin, Seasonal	Not in Autoshow
1965	Toyota	Sports 800 Fanta Edition	D 141	Classic Sports Cars	Japan	35,000	Rare	Autoshow DLC	Partnership DLC
1985	Toyota	Sprinter Trueno GT Apex	D 376	Retro Sports Cars	Japan	30,000	Epic	Autoshow, Wheelspin	
1985	Toyota	Sprinter Trueno GT Apex Forza Edition	B 600	Track Toys	Japan			Collection Journal, Seasonal	Not in Autoshow
1996	Toyota	Starlet Glanza V	C 435	Retro Hot Hatch	Japan	250,000	Common	Seasonal	Not in Autoshow, in Welcome to Japan Playlist
1992	Toyota	Supra 2.0 GT	C 453	Retro Sports Cars	Japan	28,000	Rare	Autoshow, Wheelspin	
1998	Toyota	Supra RZ	B 529	Retro Sports Cars	Japan	60,000	Rare	Autoshow, Collection Journal, Wheelspin	
2019	Toyota	Tacoma TRD Pro	C 409	Pickups & 4x4s	Japan	34,000	Rare	Autoshow, Wheelspin	
2019	Toyota	Tacoma TRD Pro Forza Edition	R 998	Extreme Track Toys	Japan	500,000	Forza Edition	Autoshow DLC	VIP
1998	TVR	Cerbera Speed 12	S1 770	Retro Supercars	UK			Seasonal	Not in Autoshow
2018	TVR	Griffith	S1 729	Modern Sports Cars	UK	250,000	Rare	Autoshow	
2005	TVR	Sagaris	A 672	Retro Sports Cars	UK	115,000	Rare	Autoshow, Wheelspin	
2015	Ultima	Evolution Coupe 1020	R 925	Extreme Track Toys	UK	150,000	Epic	Autoshow, Wheelspin	
2017	Volkswagen	#34 Andretti Rally Cross Beetle	S1 764	Rally Monsters	Germany	150,000	Epic	Autoshow, Wheelspin	
1963	Volkswagen	Beetle	D 100	Cult Cars	Germany	17,000	Legendary	Autoshow, Wheelspin	
1969	Volkswagen	Class 5/1600 Baja Bug	D 260	Buggies	Germany	35,000	Rare	Autoshow, Wheelspin	
1995	Volkswagen	Corrado VR6	C 426	Retro Hot Hatch	Germany	30,000	Common	Autoshow, Wheelspin	
1983	Volkswagen	Golf GTI	D 314	Retro Hot Hatch	Germany	18,000	Common	Autoshow, Wheelspin	
1992	Volkswagen	Golf Gti 16v Mk2	D 308	Retro Hot Hatch	Germany	22,000	Common	Autoshow, Wheelspin	
2010	Volkswagen	Golf R	B 526	Super Hot Hatch	Germany	20,000	Rare	Autoshow, Wheelspin	
2014	Volkswagen	Golf R	B 536	Super Hot Hatch	Germany	27,000	Common	Autoshow, Wheelspin	
2021	Volkswagen	Golf R	B 546	Super Hot Hatch	Germany	29,000	Common	Autoshow, Wheelspin	
2022	Volkswagen	Golf R	B 548	Super Hot Hatch	Germany	35,000	Rare	Autoshow, Wheelspin	
1982	Volkswagen	Pickup LX	D 100	Utility Heroes	Germany	16,000	Epic	Autoshow, Wheelspin	
1989	Volkswagen	Rallye Golf	C 440	Retro Rally	Germany			Seasonal	Not in Autoshow
2011	Volkswagen	Scirocco R	B 548	Hot Hatch	Germany	15,000	Rare	Autoshow, Wheelspin	
1963	Volkswagen	Type 2 De Luxe	D 100	Cult Cars	Germany	178,000	Rare	Autoshow, Collection Journal	
1983	Volvo	242 Turbo Evolution	C 435	Classic Rally	Sweden	30,000	Common	Autoshow, Wheelspin	
2022	Wuling	Hongguang Mini EV	D 100	Hot Hatch	China	5,000	Rare	Autoshow, Wheelspin	
2013	Wuling	Sunshine S	D 107	Utility Heroes	China	2,000	Rare	Autoshow, Wheelspin	
2013	Wuling	Sunshine S Forza Edition	S1 800	Track Toys	China			Wheelspin, Seasonal	Not in Autoshow
2019	Zenvo	TSR-S	R 906	Hypercars	Denmark	1,200,000	Legendary	Autoshow, Wheelspin	
